Adj Close,Volume
2691.52002,1919660000
2681.25,2015440000
2702.199951,2060750000
2709.889893,2095490000
2703.169922,1976220000
2707.800049,1868870000
2716.830078,1893100000
2737.330078,1873960000
2735.290039,1923900000
2755.300049,2020210000
2765.850098,2020190000
2725.360107,2130930000
2704.290039,2323250000
2689.540039,1916960000
2717.550049,1871300000
2719.25,1936120000
2739.5,2031410000
2755.280029,2020550000
2686.889893,2371140000
2700.080078,1952310000
2751.189941,2255990000
2749.560059,2024600000
2753.879883,1941260000
2769.300049,1956710000
2783.98999,1768090000
2797.050049,1803010000
2789.070068,1930820000
2790.449951,2497540000
2809.439941,2066700000
2817.179932,1964780000
2804.350098,2006220000
2825.560059,2276980000
2831.580078,1939320000
2833.949951,2109460000
2756.419922,2262100000
2722.98999,2479150000
2737.899902,2065290000
2781.050049,1867820000
2782.27002,2009500000
2737.409912,2212860000
2748.070068,1986900000
2798.73999,1990380000
2784.669922,1897900000
2745.629883,2189970000
2765.77002,1835540000
2751.719971,1996700000
2701.02002,2363330000
2715.610107,1851810000
2700.969971,1782070000
2667.330078,2359830000
2616.820068,2596000000
2636.050049,1994360000
2643.669922,1986900000
2692.090088,1751060000
2683.870117,1657430000
2698.300049,1769950000
2736.419922,1954180000
2743.060059,1857570000
2730.679932,1669260000
2756.889893,1631160000
2776.790039,1818410000
2781.070068,1896420000
2789.600098,2090120000
2789.189941,1705920000
2791.189941,1954520000
2799.820068,1996750000
2796.139893,1806900000
2780.419922,1650810000
2771.51001,2053190000
2744.790039,1818610000
2761.52002,1744940000
2760.219971,1717650000
2764.649902,1785050000
2735.379883,1786230000
2744.969971,1675970000
2802.51001,2094470000
2820.159912,2094470000
2825.879883,1480600000
2847.540039,2057740000
2869.879883,2071380000
2872.530029,1983630000
2873.540039,2455650000
2864.080078,2062630000
2841.620117,2214380000
2828.22998,2209580000
2814.719971,2227690000
2827.560059,2043740000
2843.25,1649110000
2871.889893,2018000000
2845.060059,2258770000
2863.040039,2209650000
2828.469971,1917050000
2782.310059,2066020000
2783.209961,2220440000
2815.0,1875150000
2823.310059,1753390000
2803.320068,1780140000
2758.899902,1795680000
2746.159912,1875370000
2761.379883,1894510000
2782.919922,1904400000
2796.860107,1641320000
2835.300049,2450090000
2769.189941,2254850000
2773.310059,1919030000
2732.780029,1936400000
2702.560059,1878150000
2701.560059,1847300000
2675.379883,2089320000
2684.870117,1704960000
2643.72998,1972000000
2639.689941,1847050000
2678.719971,1701300000
2631.459961,1982430000
2623.699951,1958250000
2616.47998,2393690000
2629.659912,1625850000
2687.26001,1882490000
2669.189941,1617370000
2686.75,2060450000
2652.889893,2842870000
2688.280029,1710740000
2729.310059,1682590000
2740.48999,1804490000
2773.52002,1859130000
2816.030029,1646380000
2825.77002,1556620000
2834.02002,1639490000
2872.659912,1873710000
2859.810059,1612120000
2802.620117,1765920000
2781.909912,2015410000
2796.919922,1885510000
2762.669922,1946500000
2789.800049,1804380000
2765.110107,1752220000
2826.52002,1882760000
2814.22998,1863670000
2834.429932,2284150000
2858.830078,1665220000
2842.800049,1613240000
2839.959961,1739980000
2764.790039,2367470000
2766.25,2067020000
2756.379883,2301210000
2744.610107,2209790000
2669.23999,2377250000
2693.070068,2601310000
2556.389893,3272990000
2532.409912,3750150000
2357.689941,3987990000
2482.52002,3803050000
2381.050049,3397010000
2492.679932,3134140000
2507.97998,2232470000
2555.199951,1945850000
2523.449951,2074370000
2511.47998,1913320000
2380.429932,2775580000
2341.840088,2385300000
2345.379883,1957230000
2446.060059,2147270000
2467.689941,1888640000
2419.629883,1789230000
2479.850098,1852130000
2562.110107,1615510000
2576.110107,1871800000
2579.459961,1995490000
2546.040039,1742440000
2480.330078,1571530000
2473.830078,1737170000
2548.939941,1791480000
2529.139893,1979990000
2467.98999,2054190000
2495.090088,1980350000
2532.149902,1931390000
2572.550049,2323770000
2607.070068,1967730000
2622.310059,2703730000
2612.830078,1891770000
2590.23999,1914990000
2538.189941,2172030000
2455.669922,2919330000
2483.22998,1975200000
2516.689941,1982710000
2546.830078,2095620000
2491.580078,1929310000
2480.76001,2290370000
2415.399902,2041370000
2335.830078,2547690000
2404.820068,3040940000
2460.51001,2472400000
2506.820068,2249140000
2479.350098,2084900000
2566.050049,1574750000
2583.030029,1661400000
2604.72998,1967190000
2620.23999,1675220000
2667.850098,1664350000
2614.919922,1675210000
2657.429932,1931690000
2604.040039,1980180000
2598.620117,2040180000
2637.459961,2019950000
2699.439941,1884450000
2638.419922,1777770000
2650.669922,2118650000
2738.629883,2810680000
2737.149902,1838530000
2684.409912,1772560000
2606.959961,2294220000
2639.97998,1921790000
2697.969971,2106240000
2686.149902,1930750000
2695.25,1712700000
2727.48999,1850270000
2621.649902,2144160000
2625.149902,1892390000
2678.75,1602640000
2657.219971,1401710000
2686.199951,1706960000
2639.610107,1950030000
2587.98999,2197320000
2572.5,1755360000
2523.139893,2048520000
2521.280029,1792060000
2460.080078,1707770000
2441.51001,691750000
2527.340088,1626060000
2515.51001,1623550000
2620.340088,2440960000
2626.199951,1826860000
2626.929932,1662730000
2655.76001,1686660000
2649.560059,1491130000
2649.209961,1658010000
2596.379883,1845640000
2646.850098,1664710000
2612.26001,1572600000
2579.27002,1752320000
2539.310059,1793960000
2541.01001,1748400000
2555.330078,2664690000
2523.139893,1560110000
2603.72998,1835720000
2577.969971,1853710000
2599.449951,1515610000
2618.639893,960940000
2625.199951,945590000
2589.97998,1069930000
2613.73999,1011380000
2605.149902,1056790000
2648.719971,1636850000
2648.360107,1670530000
2669.860107,1836410000
2674.219971,1683090000
2676.560059,1768080000
